CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
21167060;SAN PABLO TOLIMA  - AUT;cunday;tolima;alto magdalena
35217090;PERENCO: LABRANZA GRANDE;labranzagrande;boyaca;meta
21160260;PUERTO LLERAS TOLIMA  - AUT;villarrica;tolima;alto magdalena
35217010;PUENTE YOPAL  - AUT;yopal;casanare;meta
35217060;PERENCO: EL PLAYON;nunchia;casanare;meta
21255160;HACIENDA PAJONALES;ambalema;tolima;alto magdalena
11035030;PR CHOCO: UNION PANAMERICANA;union panamericana;choco;atrato - darien
35235040;PERENCO - TRINIDAD METEO;trinidad;casanare;<nil>
23037010;PUERTO SALGAR - AUT;puerto salgar;cundinamarca;medio magdalena
2302500064;MANZANARES - AUT;manzanares;caldas;medio magdalena
35225030;PERENCO: MODULOS;orocue;casanare;meta
26085170;BASE AEREA MARCO FIDEL SUAREZ  - AUT;cali;valle del cauca;cauca
26055120;UNIVERSIDAD DEL VALLE  - AUT;cali;valle del cauca;cauca
54010010;PR CHOCO: ISTMINA;istmina;choco;<nil>
54027050;PR CHOCO: RIO IRO;rio iro;choco;<nil>
11175000;PR CHOCO: ATRATO;el atrato;choco;atrato - darien
26075120;LA DIANA - AUT;florida;valle del cauca;cauca
26055110;LA INDEPENDENCIA - AUT;jamundi;valle del cauca;cauca
35057010;EL CABLE;paratebueno;cundinamarca;meta
29045190;APTO ERNESTO CORTIZOS TX GPRS;soledad;atlantico;bajo magdalena
2403500083;PESCA - AUT;pesca;boyaca;sogamoso
26155220;VILLAMARIA - AUT;villamaria;caldas;cauca
23085080;GRANJA EXPERIOMENTAL EL NUS  - AUT;san roque;antioquia;medio magdalena
2403500081;SOTAQUIRÁ - AUT;sotaquira;boyaca;sogamoso
3502700090;GUAYURIBA - AUT;villavicencio;meta;meta
23195110;LLANO GRANDE  - AUT;giron;santander;medio magdalena
44055010;TRES ESQUINAS;solano;caqueta;caqueta
23190700;PIEDECUESTA GRANJA;piedecuesta;santander;medio magdalena
21165501;DOLORES  - AUT;dolores;tolima;alto magdalena
16025502;FRANCISCO ROMERO  - AUT;salazar;norte de santander;catatumbo
29004520;ESCUELA NAVAL BARRANQUILLA  - AUT;barranquilla;atlantico;bajo magdalena
26187040;QUITASUENO  - AUT;aguadas;caldas;cauca
35020300;GUTIERREZ;gutierrez;cundinamarca;meta
29035200;REPELON - AUT;repelon;atlantico;bajo magdalena
29035000;SINCERIN  - AUT;arjona;bolivar;bajo magdalena
25025360;AEROPUERTO LAS FLORES  - AUT;el banco;magdalena;bajo magdalena
35260050;VUELTA MALA;la primavera;vichada;meta
3206500058;LEJANÍAS - AUT;lejanias;meta;guaviare
32105080;SAN JOSE DEL GUAVIARE;san jose del guaviare;guaviare;guaviare
25025000;EL DIFICIL - AUT;ariguani (el dificil);magdalena;cesar
28035060;FEDEARROZ - AUT;valledupar;cesar;cesar
28037030;PUENTE SALGUERO  - AUT;valledupar;cesar;cesar
28035070;GUATAPURI - AUT;valledupar;cesar;cesar
2801700088;CHEMESQUEMENA - AUT;valledupar;cesar;cesar
28025120;SERRANIA DEL PERIJA  - AUT;agustin codazzi;cesar;cesar
24015380;CARMEN DE CARUPA  - AUT;carmen de carupa;cundinamarca;sogamoso
2301700089;GUALÍ ALERTAS - AUT;fresno;tolima;medio magdalena
35197030;LOS ESTEROS;aguazul;casanare;meta
35087020;PAEZ;campohermoso;boyaca;meta
35080050;PAEZ;paez;boyaca;meta
35195020;TAURAMENA;tauramena;casanare;meta
26125061;APTO EL EDEN;armenia;quindio;cauca
23087190;LA GARRUCHA - AUT;san luis;antioquia;medio magdalena
21035501;ACEVEDO  - AUT;acevedo;huila;alto magdalena
52035040;VIENTO LIBRE - AUT;taminango;narino;patia
