Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
100,Emergencia Metro,-75.58864,6.25922,Medellin,Estadio,11 Laureles - Estadio,,,1999-01-01,Inactiva
101,Q. La Presidenta -  Parque Lineal La Presidenta,-75.56938,6.20779,Medellin,El Poblado,14 El Poblado,,,2013-12-19,Activa
102,Caldas-Unidad Deportiva,-75.63305,6.08825,Caldas,La Docena,,,,2013-12-23,Inactiva
103,Parque del Artista  Itagui,-75.60361,6.17780,Itagui,,,,,2013-12-27,Inactiva
104,Q. La Zuniga - La Frontera,-75.57982,6.18511,Medellin,Santa Maria de los Angeles,14 El Poblado,,,2013-12-27,Activa
105,Parque 3 Aguas,-75.63536,6.09628,Caldas,,,,La Miel,2014-01-16,Activa
106,R. Medellin - Parque 3 Aguas,-75.63536,6.09602,Caldas,La Inmaculada,,,,2014-01-16,Activa
107,Fundacion Hogares Claret - Humedad,-75.61122,6.29498,Medellin,,,60 San Cristobal,Pajarito,2014-11-07,Inactiva
108,Q. Dona Maria - Santa Rita,-75.65150,6.19059,Medellin,,,80 San Antonio de Prado,La Verde,2014-03-10,Activa
109,Q. La Doctora - Sabaneta,-75.61661,6.14564,Sabaneta,Vegas de la Doctora,,,,2014-03-11,Activa
110,Q. La Iguana,-75.60525,6.27612,Medellin,Fuente Clara,07 Robledo,,,2014-04-11,Inactiva
111,Q. Santa Elena,-75.55400,6.24350,Medellin,Sucre,08 Villa Hermosa,,,2014-04-08,Inactiva
112,Cantera Cimax - Humedad,-75.54628,6.31123,Bello,Santa Rita,Bello Comuna 11,,Granizal,2014-08-28,Inactiva
115,Q. Ayura,-75.58061,6.17044,Envigado,Los Naranjos,,,,2014-07-10,Inactiva
116,Q. Picacha,-75.58503,6.24214,Medellin,Conquistadores,11 Laureles - Estadio,,,2014-07-13,Inactiva
117,Q. Chachafruto,-75.57370,6.37320,Bello,,,,Vereda Tierra Adentro,2015-08-26,Inactiva
118,Colegio Waldorf Isolda Echavarria,-75.64743,6.15926,La Estrella,Horizontes,,,San Jose,2014-03-28,Inactiva
120,Caldas-Unidad Deportiva,-75.63305,6.08825,Caldas,La Docena,,,,2014-11-24,Inactiva
121,I.E Barrio Paris,-75.58158,6.31370,Bello,Paris,Comuna 01,,,2014-11-26,Activa
122,Tasajera,-75.43522,6.42450,Barbosa,,,,El Tigre,2014-12-05,Activa
123,Q. La Iguana,-75.60525,6.27612,Medellin,Fuente Clara,07 Robledo,,,2015-01-15,Inactiva
124,R. Medellin - Unidad Deportiva Caldas,-75.63313,6.08826,Caldas,La Docena,,,,2015-01-28,Activa
125,Cedro Verde - Humedad,-75.54473,6.15922,Medellin,,,,Santa Catalina,1999-01-01,Inactiva
126,Puente de Machado,-75.53783,6.33600,Bello,Machado,Comuna 10,,,2015-04-07,Inactiva
127,I.E. Manuel Jose Sierra - Sede la Holanda,-75.48332,6.41920,Girardota,,,,La Holanda- parte alta,2015-04-07,Activa
128,Q. La Garcia - Playa Rica,-75.56571,6.34377,Bello,Playa Rica,Comuna 06,,,2015-04-16,Activa
129,Colegio Divino Salvador,-75.54830,6.23711,Medellin,Miraflores,09 Buenos Aires,,,2015-04-23,Activa
130,El Hato,-75.55853,6.32950,Bello,Puerto Bello,,,,2015-04-23,Inactiva
131,Parque de las aguas - Disdrometro,-75.41947,6.40626,Barbosa,,,,Filo Verde,2015-04-28,Inactiva
132,Puente de Machado,-75.53783,6.33600,Bello,Fontidueno,Comuna 8,,,2015-04-28,Inactiva
133,Vereda el perico - Humedad,-75.50711,6.19133,Envigado,,,,El Vallano,2015-05-08,Inactiva
134,Q. La Madera - Barrio Nuevo,-75.57003,6.31090,Bello,Barrio Nuevo,Comuna 02,,,2015-05-08,Activa
135,Q. La Loca - San Jose Obrero,-75.56089,6.32369,Bello,San Jose Obrero,Comuna 02,,,2015-05-21,Activa
136,Salgar Puente Hospital - Nivel,-75.98033,5.96486,Salgar,,,,,2015-05-22,Inactiva
136,Salgar Puente Hospital,-75.98020,5.96480,Salgar,,,,,2015-05-22,Inactiva
137,Vereda Liboriana - Nivel,-76.03139,5.95706,Salgar,,,,Vereda Liboriana,2015-05-23,Inactiva
138,Vereda Liboriana,-76.03150,5.95706,Salgar,,,,Vereda Liboriana,2015-05-23,Inactiva
