,CodigoEstacion,Longitud,Latitud,Departamento,Municipio
296,2612500130,-75.568858333,4.633475,QUINDÍO,SALENTO
297,2610500131,-75.940638889,3.929055556,VALLE DEL CAUCA,TULUÁ
298,2302500037,-75.316638889,5.139916667,CALDAS,MARULANDA
299,25025330,-73.63008333,8.954222222,CESAR,PAILITAS
300,2805500075,-73.512916667,9.238138889,CESAR,CURUMANÍ
301,12045020,-76.22444444,9.071111111,CORDOBA,PUERTO ESCONDIDO
302,1501500054,-74.059786111,11.230522222,MAGDALENA,SANTA MARTA
303,46035010,-75.16266667,1.640222222,CAQUETA,EL DONCELLO
304,1508500053,-71.345080556,12.339194444,LA GUAJIRA,URIBIA
305,2612500124,-75.684138889,4.331361111,QUINDÍO,PIJAO
306,2319500125,-73.178361111,7.649638889,NORTE DE SANTANDER,CÁCHIRA
307,1303500129,-75.450833333,8.942472222,CORDOBA,SAHAGÚN
308,1206500136,-75.513280556,10.400311111,BOLIVAR,CARTAGENA DE INDIAS
309,23020080,-75.144,5.266,CALDAS,MANZANARES
310,52055160,-77.92122222,0.846583333,NARIÑO,CUMBAL
311,3701500117,-72.790291667,7.056497222,NORTE DE SANTANDER,SILOS
312,2615500122,-75.356583333,5.017777778,CALDAS,MANIZALES
313,3701500114,-72.550275,7.401216667,NORTE DE SANTANDER,TOLEDO
314,2319500137,-72.8762,7.3102,SANTANDER,VETAS
315,2901500072,-75.236458333,9.672419444,BOLIVAR,EL CARMÉN DE BOLÍVAR
316,28035070,-73.39241667,10.73213889,CESAR,VALLEDUPAR
317,5102500128,-77.9765,1.157833333,NARIÑO,RICAURTE
318,28015110,-72.99763889,10.36533333,CESAR,MANAURE BALCÓN DEL CESAR
319,3702500113,-72.300419444,7.099138889,NORTE DE SANTANDER,TOLEDO
320,3507500133,-73.375777778,5.422822222,BOYACÁ,BOYACÁ
321,16025040,-72.46861111,8.167777778,NORTE DE SANTANDER,CÚCUTA
322,2501500120,-75.851580556,7.730194444,CORDOBA,PUERTO LIBERTADOR
323,3518500127,-72.8651,4.987080556,CASANARE,MONTERREY
324,2306500106,-74.537586111,5.001902778,CUNDINAMARCA,GUADUAS
325,47015100,-77.16147222,1.159944444,NARIÑO,PASTO
326,1509500118,-73.84445,11.21015,MAGDALENA,SANTA MARTA
327,24030350,-73.045,5.83,BOYACÁ,DUITAMA
328,5205500123,-77.27025,1.054805556,NARIÑO,PASTO
329,2614500116,-75.768947222,5.532161111,CALDAS,RIOSUCIO
330,23195110,-73.16722222,7.025555556,SANTANDER,GIRÓN
331,52040050,-77.031,1.397,NARIÑO,EL TABLÓN
332,35237040,-71.666,5.419,<nil>,<nil>
333,24035440,-72.311611111,6.493583333,BOYACÁ,GUICÁN
334,44055010,-75.236,0.738,CAQUETA,SOLANO
335,35260050,-70.281,5.561,VICHADA,LA PRIMAVERA
336,52050060,-77.3,1.099,NARIÑO,PASTO
337,52050080,-77.392,1.094,NARIÑO,TANGUA
338,14015080,-75.51602778,10.44725,BOLIVAR,CARTAGENA DE INDIAS
339,24035340,-72.968,5.677,BOYACÁ,SOGAMOSO
340,52050090,-77.5,1.055,NARIÑO,IMUÉS
341,52055090,-77.389,1.108,NARIÑO,TANGUA
342,52040050,-77.03052778,1.397333333,NARIÑO,EL TABLÓN
343,25025240,-74.543,8.544,BOLIVAR,ACHÍ
344,15015100,-73.933,11.31,MAGDALENA,SANTA MARTA
345,17025020,-81.358,13.36,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",SAN ANDRES Y  PROVIDENCIA (SANTA ISABEL)
346,25010010,-75.68,7.89,CORDOBA,PUERTO LIBERTADOR
347,35020300,-74.003,4.254,CUNDINAMARCA,GUTIÉRREZ
348,35080050,-73.053,5.096,BOYACÁ,PÁEZ
349,35195020,-72.87,5.027,CASANARE,TAURAMENA
350,28025090,-73.265,9.85,CESAR,AGUSTÍN CODAZZI
351,25025100,-74.845,9.282,BOLIVAR,MAGANGUÉ
352,29045110,-75.046,10.834,ATLANTICO,JUAN DE ACOSTA
353,15015050,-74.229,11.128,MAGDALENA,SANTA MARTA
354,35095110,-72.917,4.655,CASANARE,VILLANUEVA
355,23195040,-73.122,7.145,SANTANDER,BUCARAMANGA
