CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
27015300;VILLANUEVA;MEDELLÍN;ANTIOQUIA;NECHÍ
21206950;PARAMO GUACHENEQUE  - AUT;VILLAPINZÓN;CUNDINAMARCA;ALTO MAGDALENA
25025340;SAN MARCOS - AUT;SAN MARCOS;SUCRE;BAJO MAGDALENA- CAUCA -SAN JORGE
21255501;LA TRINIDAD  - AUT;LÍBANO;TOLIMA;ALTO MAGDALENA
13085030;SAN BERNARDO;SAN BERNARDO DEL VIENTO;CORDOBA;SINÚ
24015110;LA BOYERA - AUT;UBATÉ;CUNDINAMARCA;SOGAMOSO
29045150;SAIZA - En Siniestro;TIERRALTA;CÓRDOBA;SINÚ
26155270;SAN ANTONIO CALDAS - AUT;VILLAMARIA;CALDAS;CAUCA
26015010;EL TABLAZO - AUT;POPAYÁN;CAUCA;CAUCA
54020020;PR CHOCO: NOVITA;NÓVITA;CHOCÓ;SAN JUÁN
21205513;LA RAMADA  - AUT;FUNZA;CUNDINAMARCA;ALTO MAGDALENA
46035010;MAGUARE - AUT;EL DONCELLO;CAQUETA;CAGUÁN
